1741055837,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.09%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055837,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.09%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055837,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.81%,"909.4MiB / 15.48GiB",5.74%,"25.9MB / 90.5MB","0B / 0B",233
1741055837,82591176414e,reverse-proxy-api-1,82591176414e,0.09%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055849,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055849,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.08%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055849,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.10%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055849,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.65%,"912MiB / 15.48GiB",5.75%,"25.9MB / 90.5MB","0B / 0B",233
1741055849,82591176414e,reverse-proxy-api-1,82591176414e,0.11%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055861,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055861,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.08%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055861,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.08%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055861,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.55%,"920.8MiB / 15.48GiB",5.81%,"26MB / 90.5MB","0B / 0B",234
1741055861,82591176414e,reverse-proxy-api-1,82591176414e,0.08%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055875,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055875,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.08%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055875,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.09%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055875,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.46%,"927MiB / 15.48GiB",5.85%,"26MB / 90.5MB","0B / 0B",234
1741055875,82591176414e,reverse-proxy-api-1,82591176414e,0.07%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055887,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055887,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.08%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055887,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.08%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055887,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.48%,"927.6MiB / 15.48GiB",5.85%,"26MB / 90.5MB","0B / 0B",234
1741055887,82591176414e,reverse-proxy-api-1,82591176414e,0.07%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055899,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055899,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.11%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055899,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.15%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055899,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.74%,"932.5MiB / 15.48GiB",5.88%,"26MB / 90.5MB","0B / 0B",234
1741055899,82591176414e,reverse-proxy-api-1,82591176414e,0.11%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055912,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055912,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.10%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055912,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.08%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055912,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.45%,"942.6MiB / 15.48GiB",5.95%,"26MB / 90.5MB","0B / 0B",234
1741055912,82591176414e,reverse-proxy-api-1,82591176414e,0.08%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055924,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055924,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.07%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055924,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.10%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055924,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.59%,"943.4MiB / 15.48GiB",5.95%,"26MB / 90.5MB","0B / 0B",233
1741055924,82591176414e,reverse-proxy-api-1,82591176414e,0.09%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055937,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055937,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.43%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055937,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.17%,"103.3MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055937,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,1.05%,"944MiB / 15.48GiB",5.96%,"26MB / 90.5MB","0B / 0B",233
1741055937,82591176414e,reverse-proxy-api-1,82591176414e,0.11%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055949,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055949,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.09%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055949,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.09%,"103.3MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055949,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.69%,"944.8MiB / 15.48GiB",5.96%,"26MB / 90.5MB","0B / 0B",233
1741055949,82591176414e,reverse-proxy-api-1,82591176414e,0.08%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055961,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055961,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.08%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
