Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740728276,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.10%,"40.75MiB / 7.637GiB",0.52%,"11.8MB / 15.6MB","0B / 0B",37
1740728276,539c889625b4,reverse-proxy-api-1,539c889625b4,0.18%,"101.1MiB / 7.637GiB",1.29%,"8.91MB / 5.81MB","0B / 0B",34
1740728288,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,30.77%,"11.15MiB / 20MiB",55.74%,"502MB / 429MB","0B / 0B",12
1740728288,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.25%,"40.79MiB / 7.637GiB",0.52%,"12.1MB / 15.9MB","0B / 0B",37
1740728288,539c889625b4,reverse-proxy-api-1,539c889625b4,0.43%,"98.97MiB / 7.637GiB",1.27%,"9.1MB / 5.93MB","0B / 0B",28
1740728300,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,38.27%,"11.55MiB / 20MiB",57.75%,"510MB / 436MB","0B / 0B",12
1740728300,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,2.83%,"41.14MiB / 7.637GiB",0.53%,"12.3MB / 16.2MB","0B / 0B",37
1740728300,539c889625b4,reverse-proxy-api-1,539c889625b4,26.58%,"105.8MiB / 7.637GiB",1.35%,"9.25MB / 6.01MB","0B / 0B",30
1740728312,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,27.94%,"10.98MiB / 20MiB",54.88%,"517MB / 443MB","0B / 0B",12
1740728312,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.44%,"40.74MiB / 7.637GiB",0.52%,"12.5MB / 16.4MB","0B / 0B",37
1740728312,539c889625b4,reverse-proxy-api-1,539c889625b4,42.88%,"97.71MiB / 7.637GiB",1.25%,"9.39MB / 6.12MB","0B / 0B",35
1740728325,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,57.00%,"11.07MiB / 20MiB",55.37%,"525MB / 450MB","0B / 0B",12
1740728325,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.14%,"40.77MiB / 7.637GiB",0.52%,"12.7MB / 16.7MB","0B / 0B",37
1740728325,539c889625b4,reverse-proxy-api-1,539c889625b4,0.26%,"97.78MiB / 7.637GiB",1.25%,"9.56MB / 6.23MB","0B / 0B",36
1740728337,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,39.02%,"10.51MiB / 20MiB",52.56%,"533MB / 456MB","0B / 0B",12
1740728337,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.18%,"40.77MiB / 7.637GiB",0.52%,"12.9MB / 17MB","0B / 0B",37
1740728337,539c889625b4,reverse-proxy-api-1,539c889625b4,0.39%,"101.8MiB / 7.637GiB",1.30%,"9.71MB / 6.32MB","0B / 0B",26
