Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740728754,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,13.05%,"9.914MiB / 20MiB",49.57%,"609MB / 521MB","0B / 0B",12
1740728754,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.17%,"35.91MiB / 7.637GiB",0.46%,"13.6MB / 17.9MB","0B / 0B",37
1740728754,539c889625b4,reverse-proxy-api-1,539c889625b4,0.30%,"95.21MiB / 7.637GiB",1.22%,"10.2MB / 6.68MB","0B / 0B",45
1740728766,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,12.21%,"9.883MiB / 20MiB",49.41%,"615MB / 527MB","0B / 0B",12
1740728766,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,1.00%,"35.85MiB / 7.637GiB",0.46%,"13.7MB / 18MB","0B / 0B",37
1740728766,539c889625b4,reverse-proxy-api-1,539c889625b4,12.47%,"93.81MiB / 7.637GiB",1.20%,"10.3MB / 6.72MB","0B / 0B",30
1740728778,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,11.01%,"10.04MiB / 20MiB",50.18%,"622MB / 533MB","0B / 0B",12
1740728778,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,4.14%,"35.73MiB / 7.637GiB",0.46%,"13.7MB / 18.1MB","0B / 0B",37
1740728778,539c889625b4,reverse-proxy-api-1,539c889625b4,23.01%,"98.55MiB / 7.637GiB",1.26%,"10.3MB / 6.74MB","0B / 0B",37
1740728790,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,24.49%,"10.19MiB / 20MiB",50.96%,"629MB / 539MB","0B / 0B",12
1740728790,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.84%,"35.69MiB / 7.637GiB",0.46%,"13.8MB / 18.1MB","0B / 0B",37
1740728790,539c889625b4,reverse-proxy-api-1,539c889625b4,16.89%,"96.37MiB / 7.637GiB",1.23%,"10.4MB / 6.76MB","0B / 0B",48
1740728803,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,11.74%,"10.14MiB / 20MiB",50.72%,"637MB / 545MB","0B / 0B",12
1740728803,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.87%,"35.72MiB / 7.637GiB",0.46%,"13.8MB / 18.2MB","0B / 0B",37
1740728803,539c889625b4,reverse-proxy-api-1,539c889625b4,11.05%,"95.68MiB / 7.637GiB",1.22%,"10.4MB / 6.78MB","0B / 0B",35
1740728815,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,25.02%,"10.22MiB / 20MiB",51.09%,"644MB / 552MB","0B / 0B",12
1740728815,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.75%,"35.75MiB / 7.637GiB",0.46%,"13.9MB / 18.2MB","0B / 0B",37
1740728815,539c889625b4,reverse-proxy-api-1,539c889625b4,11.61%,"93.5MiB / 7.637GiB",1.20%,"10.4MB / 6.8MB","0B / 0B",35
1740728827,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,35.74%,"10.19MiB / 20MiB",50.94%,"652MB / 559MB","0B / 0B",12
1740728827,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.53%,"35.86MiB / 7.637GiB",0.46%,"13.9MB / 18.3MB","0B / 0B",37
1740728827,539c889625b4,reverse-proxy-api-1,539c889625b4,6.66%,"100.8MiB / 7.637GiB",1.29%,"10.5MB / 6.84MB","0B / 0B",54
